session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current U.S state of birth,Current U.S state of residence,Employment Status,First Language,Nationality,Sex,Student Status
5f53acbf5d423009d4a952ae,5f4fc3f3e037580c36d1808e,AWAITING REVIEW,20:31.9,58:34.2,5882.38,40,4,1,87,,3F0C1D17,United States,,Michigan (MI),Michigan (MI),,,United States,Female,No
5f53b1e902bbe60a5dd0919d,5cf308da81ea050017a6151e,AWAITING REVIEW,42:33.0,35:31.8,3178.788,27,382,1,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Full-Time,English,United States,Male,No
5f53b2838dff8f6d8e2313d9,5ef4b8cf1f15df0ae9c7a706,AWAITING REVIEW,45:09.8,51:23.0,3973.219,27,82,3,97,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Full-Time,Vietnamese,United States,Male,No
5f53b3a7007af06e2015359a,5d295e07d3edf9001a801625,AWAITING REVIEW,50:27.5,55:14.5,7487.037,51,563,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
5f53b5aad2fd0a6eb309b4f5,5f50903add6f01204a2a60c3,AWAITING REVIEW,58:48.5,08:10.0,7761.492,25,3,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Full-Time,DATA EXPIRED,United States,Male,No
5f53b6085340b00a40234974,5ef3d5382337cd17ee7e88cc,AWAITING REVIEW,00:19.9,45:11.7,2691.777,22,140,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Other,English,United States,Female,Yes
5f53b67ff5bba96e9bd7f66c,5f0df709c887690e5bede0ec,AWAITING REVIEW,02:43.1,04:23.1,3700.015,66,116,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
5f53b6f3db8a356ee7ea9936,5cf61f1ec0d98b00196ebc90,AWAITING REVIEW,06:33.2,02:42.9,3369.649,31,401,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Part-Time,English,United States,Female,No
5f53b7eee51b926dab102c09,5f49398df2148f337324ecf9,AWAITING REVIEW,08:33.1,52:53.6,2660.464,27,12,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Full-Time,DATA EXPIRED,United States,Male,No
5f53b95809e9696e569a80a1,5f4e5470ade9a50008e5df29,AWAITING REVIEW,14:21.6,49:34.9,5713.278,38,8,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Full-Time,,United States,Male,No
5f53bc41d904fa6efa2e0151,5f4fe2d73a8bb611a36a94c4,AWAITING REVIEW,26:41.9,47:16.9,4835.024,21,8,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Unemployed (and job seeking),,United States,Male,No
5f53bc90af03926fc56fd1ca,5eb4a3fb75168630c3e6fdb1,AWAITING REVIEW,29:34.3,10:32.3,2457.982,46,318,1,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Full-Time,English,United States,Male,No
5f53be0247c38a6f3efbc77f,5f5065f8c62ac41e03484ba1,AWAITING REVIEW,34:10.2,17:50.8,2620.573,19,3,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Full-Time,,United States,Male,Yes
5f53be2a526bec6fb2d3f11d,5f498900c3368e3df50ea6ac,AWAITING REVIEW,42:09.6,28:24.7,6375.126,22,16,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Full-Time,,United States,Male,No
5f53be940868af6f422b8652,5d8de6eaafa2c40019f2375e,AWAITING REVIEW,39:58.5,37:21.7,3443.132,58,534,4,99,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
5f53beda81da7d6fa48d81d3,5f47f3b013fe2f2537aba6da,AWAITING REVIEW,38:09.5,00:16.1,4926.631,19,15,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Other,,United States,Male,Yes
5f53c4558dac166f8a79851c,5f4cf071633ed2922c6e06dd,AWAITING REVIEW,01:33.2,51:50.9,3017.648,37,25,0,100,,3F0C1D17,United States,,Michigan (MI),Michigan (MI),Full-Time,,United States,Male,Yes
5f53cc40f4ec8e7089b71ffe,5f010d04305a1425a9ac7206,AWAITING REVIEW,35:09.1,41:01.0,3951.899,49,86,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
5f53ccaa09e96970b2bdf52f,5f49891aeb2e884fb829b84f,AWAITING REVIEW,36:42.9,39:04.1,3741.247,22,6,0,100,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),Other,,United States,Male,Yes
5f53cddf1b73b4707c45170b,5c698bdf707a740001032f4e,AWAITING REVIEW,41:57.2,35:08.3,3191.099,30,304,4,99,,3F0C1D17,United States,United States,Michigan (MI),Michigan (MI),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
,,,,Mean,4248.923,,,,,,,,,,,,,,,
,,,,Median,3720.631,,,,,,,,,,,,,,,
,,,,Max,7761.492,,,,,,,,,,,,,,,
,,,,Min,2457.982,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,Mean,70.81538333,,,,,,,,,,,,,,,
,,,,Median,62.01051667,,,,,,,,,,,,,,,
,,,,Max,129.3582,,,,,,,,,,,,,,,
,,,,Min,40.96636667,,,,,,,,,,,,,,,
