session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Current U.S state of birth,Current U.S state of residence,Employment Status,First Language,Nationality,Sex,Student Status
5f3af9ab44884c7e3854c357,5f2b5d4088f11d5bed986b7d,RETURNED,2020-08-17 21:42:20.179000,,1874841.635604,27,16,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3afbab0d32087d42571437,5c8d7f4ca5092100014b00a4,APPROVED,2020-08-17 21:50:51.650000,2020-08-17 22:16:41.207000,1549.557,40,698,0,100,2020-08-19 02:31:22.287000,53012707,United States,United States,Michigan (MI),Michigan (MI),Full-Time,English,United States,Male,No
5f3afbfcda1ce17e29fd43dc,5f08e34652065a1635f97f1b,RETURNED,2020-08-17 21:52:12.883000,,1874249.157916,30,0,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3afd8badbc897d5e5deae9,5f07363e47bd2b2e4874684d,REJECTED,2020-08-17 21:58:35.854000,2020-08-17 22:25:44.439000,1628.585,27,113,2,99,2020-08-18 16:57:28.520000,53012707,United States,United States,Michigan (MI),Michigan (MI),Full-Time,English,United States,Male,No
5f3afff15ed4a17f3d81eb72,5efe549cd061693579bff438,APPROVED,2020-08-17 22:08:53.454000,2020-08-17 22:28:32.556000,1179.102,36,130,4,97,2020-08-19 02:31:23.581000,53012707,United States,United States,Michigan (MI),Michigan (MI),Unemployed (and job seeking),English,United States,Female,No
5f3b00ba70b230406ccff1dc,5dc5086aa0910f3ada826120,APPROVED,2020-08-17 22:12:10.172000,2020-08-17 23:01:01.005000,2930.833,28,254,6,96,2020-08-19 02:31:24.216000,53012707,United States,United States,Michigan (MI),Michigan (MI),Unemployed (and job seeking),English,United States,Female,Yes
5f3b00c55d625f7efd0a19c6,5f13786da54419389fc40b64,REJECTED,2020-08-17 22:12:30.258000,2020-08-17 22:37:18.307000,1488.049,18,53,1,100,2020-08-18 17:04:56.778000,53012707,United States,United States,Michigan (MI),Michigan (MI),Part-Time,English,United States,Female,Yes
5f3b015c8f3df81f25502ea7,5c4e7b34620ba700010c5dc6,RETURNED,2020-08-17 22:14:52.264000,,1872890.726371,29,383,5,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3b01a89a3b462083421350,5f31be30ec2f0d0e38805408,RETURNED,2020-08-17 22:16:22.118000,,1872800.872479,41,47,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3b01d88aad7380104373b6,5bdc8d12b2fff7000189b6f8,APPROVED,2020-08-17 22:17:10.013000,2020-08-17 22:41:21.157000,1451.144,68,832,5,99,2020-08-19 02:31:53.330000,53012707,United States,United States,Michigan (MI),Michigan (MI),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,
5f3b01ebc252527dfb45fd36,5f0bcf52ff32784f1b321653,RETURNED,2020-08-17 22:17:20.056000,,1872743.167975,26,41,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3b028e9ff99d7f8f4f1fe2,5e8789c17022a03feae0f3db,RETURNED,2020-08-17 22:20:03.003000,,1872580.22107,34,309,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3b02a2f660467ff4f151f5,5a80e46a2a842c0001fc913f,APPROVED,2020-08-17 22:20:23.175000,2020-08-17 22:42:38.803000,1335.628,62,993,3,100,2020-08-19 02:31:55.241000,53012707,United States,United States,Michigan (MI),Michigan (MI),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
5f3b03ade0ce8e210b94502c,5f1db15b22c07d01e51960ad,APPROVED,2020-08-17 22:24:50.469000,2020-08-17 23:06:33.074000,2502.605,20,88,0,100,2020-08-19 02:31:57.310000,53012707,United States,United States,Michigan (MI),Michigan (MI),Full-Time,English,United States,Male,No
5f3b0737bf01507fc6b3743c,5e6d6b3fe152873320a57f07,APPROVED,2020-08-17 22:39:51.823000,2020-08-17 23:09:44.343000,1792.52,37,162,0,100,2020-08-19 02:31:59.246000,53012707,United States,United States,Michigan (MI),Michigan (MI),"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
5f3b104b519556812f222a7d,5f11f98efbaf2b0ef855ec6b,APPROVED,2020-08-17 23:18:37.167000,2020-08-17 23:40:34.099000,1316.932,21,77,2,98,2020-08-19 02:32:01.225000,53012707,United States,United States,Michigan (MI),Michigan (MI),Unemployed (and job seeking),English,United States,Female,Yes
5f3c0e3c4f9b2140fa43b880,5ab3fc4b5f01000001cb07e2,APPROVED,2020-08-18 17:22:12.334000,2020-08-18 17:43:52.237000,1299.903,39,1134,4,100,2020-08-19 02:32:02.924000,53012707,United States,United States,Michigan (MI),Michigan (MI),Other,English,United States,Male,No
5f3c0eb260ef0317b7f283ce,5f33541d8f529816378db676,RETURNED,2020-08-18 17:24:08.860000,,1803935.766864,37,9,1,87,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5f3c1063f43640a1765c887c,5653662afea9c60005c5d21a,APPROVED,2020-08-18 17:31:22.356000,2020-08-18 17:59:35.140000,1692.784,32,25,0,100,2020-08-19 02:32:05.506000,53012707,United States,United States,Michigan (MI),Michigan (MI),Full-Time,English,United States,Male,No
